##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
215DESC;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;The first German settlements have ensured our control over the East bank of Lake Peipus;X
216NAME;Ingria pacified;Ingria pacified;Ingria pacified;Ingria pacified;Ingria pacified;Ingria pacified;Ingria pacified;Ingria pacified;Ingria pacified;Ingria pacified;X
216DESC;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;The first string of German settlements have ensured our control over Ingria.;X
217NAME;Pleskau region secured;Pleskau region secured;Pleskau region secured;Pleskau region secured;Pleskau region secured;Pleskau region secured;Pleskau region secured;Pleskau region secured;Pleskau region secured;Pleskau region secured;X
217DESC;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;Pleskau is now firmly under our control and ready for further German settlement.;X
218NAME;Lake Ilmen region pacified;Lake Ilmen region pacified;Lake Ilmen region pacified;Lake Ilmen region pacified;Lake Ilmen region pacified;Lake Ilmen region pacified;Lake Ilmen region pacified;Lake Ilmen region pacified;Lake Ilmen region pacified;Lake Ilmen region pacified;X
218DESC;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;We have stopped partisan uprisings in and around Lake Ilmen: the region is now save enough for further German settlement.;X
219NAME;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;Lovat River: the new Germanic frontier;X
219DESC;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;The area around Lovat River has been cleansed from all major partisan groups. German citizens are expected to settle the area in large numbers;X
220NAME;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;The Hanseatic Legacy: Holmgard;X
220DESC;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;The old Soviet city of Novgorod is now firmly under our control. By orders of Berlin it has been renamed Holmgard;X
221NAME;Occupation policy of Estonia;Occupation policy of Estonia;Occupation policy of Estonia;Occupation policy of Estonia;Occupation policy of Estonia;Occupation policy of Estonia;Occupation policy of Estonia;Occupation policy of Estonia;Occupation policy of Estonia;Occupation policy of Estonia;X
221DESC;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;What should be our occupation policy in Estonia? Most desire to integrate Estonia, however, quick integration may cause the locals to revolt. Finland also has an increasing interest in Estonia;X
RUTHLESS;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;Aggressively encourage colonization and integration.;X
LOCAL;Colonization but with some local autonomy.;Colonization but with some local autonomy.;Colonization but with some local autonomy.;Colonization but with some local autonomy.;Colonization but with some local autonomy.;Colonization but with some local autonomy.;Colonization but with some local autonomy.;Colonization but with some local autonomy.;Colonization but with some local autonomy.;Colonization but with some local autonomy.;X
PUPPET;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;X
221FINLAND;Grant Estonia to Finland.;Grant Estonia to Finland.;Grant Estonia to Finland.;Grant Estonia to Finland.;Grant Estonia to Finland.;Grant Estonia to Finland.;Grant Estonia to Finland.;Grant Estonia to Finland.;Grant Estonia to Finland.;Grant Estonia to Finland.;X
222NAME;Colonial office opens in Reval;Colonial office opens in Reval;Colonial office opens in Reval;Colonial office opens in Reval;Colonial office opens in Reval;Colonial office opens in Reval;Colonial office opens in Reval;Colonial office opens in Reval;Colonial office opens in Reval;Colonial office opens in Reval;X
222DESC;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;Colonial office opens in Reval to encourge Germans to settle the city.;X
223NAME;Arensburg integrated;Arensburg integrated;Arensburg integrated;Arensburg integrated;Arensburg integrated;Arensburg integrated;Arensburg integrated;Arensburg integrated;Arensburg integrated;Arensburg integrated;X
223DESC;Arensburg is now under our effective control!;Arensburg is now under our effective control!;Arensburg is now under our effective control!;Arensburg is now under our effective control!;Arensburg is now under our effective control!;Arensburg is now under our effective control!;Arensburg is now under our effective control!;Arensburg is now under our effective control!;Arensburg is now under our effective control!;Arensburg is now under our effective control!;X
224NAME;Narwa integrated;Narwa integrated;Narwa integrated;Narwa integrated;Narwa integrated;Narwa integrated;Narwa integrated;Narwa integrated;Narwa integrated;Narwa integrated;X
224DESC;Narwa is now under our control!;Narwa is now under our control!;Narwa is now under our control!;Narwa is now under our control!;Narwa is now under our control!;Narwa is now under our control!;Narwa is now under our control!;Narwa is now under our control!;Narwa is now under our control!;Narwa is now under our control!;X
225NAME;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;X
225DESC;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;Pernau integrated;X
226NAME;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;X
226DESC;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;Estonia fully integrated!;X
227NAME;The future of Latvia;The future of Latvia;The future of Latvia;The future of Latvia;The future of Latvia;The future of Latvia;The future of Latvia;The future of Latvia;The future of Latvia;The future of Latvia;X
227DESC;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;What should be our occupation policy in Latvia? Most desire to integrate Latvia, however, quick integration may cause the locals to revolt. Alternatively we could grant the Latvians national autonomy;X
